GRAPHEME,DESCRIPTION
ɣʷ,non-approximant back non-click consonantal non-constricted continuant non-coronal dorsal high labial laryngeal non-lateral non-low non-nasal place round non-sonorant non-spread non-syllabic non-tense voice
ħ,non-approximant non-click consonantal non-constricted continuant non-coronal non-dorsal non-labial laryngeal non-lateral non-nasal pharyngeal place non-sonorant non-spread non-syllabic non-tense non-voice
h̃,non-approximant non-click non-consonantal continuant non-laryngeal non-lateral nasal non-place non-sonorant non-syllabic non-tense
h,non-approximant non-click non-consonantal non-constricted continuant laryngeal non-lateral non-nasal non-place non-sonorant spread non-syllabic non-tense non-voice
ʰk,non-approximant back non-click consonantal non-continuant non-coronal dorsal high non-labial non-laryngeal non-lateral non-low non-nasal place preaspirated non-sonorant non-syllabic non-tense
ʰp,non-approximant non-click consonantal non-continuant non-coronal non-dorsal labial non-laryngeal non-lateral non-nasal place preaspirated non-round non-sonorant non-syllabic non-tense
ʰt̪,anterior non-approximant non-click consonantal non-continuant coronal distributed non-dorsal non-labial non-laryngeal non-lateral non-nasal place preaspirated non-sibilant non-sonorant non-strident non-syllabic tense
ʰt,anterior non-approximant non-click consonantal non-continuant coronal non-distributed non-dorsal non-labial non-laryngeal non-lateral non-nasal place preaspirated non-sibilant non-sonorant non-strident non-syllabic non-tense
ʰt̪ʰ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place preaspirated non-sibilant non-sonorant spread non-strident non-syllabic tense non-voice
ʰtʰ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place preaspirated non-sibilant non-sonorant spread non-strident non-syllabic non-tense non-voice
ʜ,approximant non-click consonantal non-constricted continuant non-coronal non-dorsal non-labial laryngeal non-lateral non-nasal pharyngeal place sonorant non-spread non-syllabic non-tense non-voice
ɦ,non-approximant non-click non-consonantal non-constricted continuant laryngeal non-lateral non-nasal non-place non-sonorant non-spread non-syllabic non-tense voice
ɧ,non-approximant non-click consonantal continuant non-laryngeal non-lateral non-nasal non-place non-sonorant non-syllabic non-tense
ĩ,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal high non-labial laryngeal non-lateral non-low nasal place non-sibilant sonorant non-spread non-strident syllabic tense voice
i̥,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal high non-labial laryngeal non-lateral non-low non-nasal place non-sibilant sonorant non-spread non-strident syllabic tense non-voice
i,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal high non-labial laryngeal non-lateral non-low non-nasal place non-sibilant sonorant non-spread non-strident syllabic tense voice
i̤,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal high non-labial laryngeal non-lateral non-low non-nasal place non-sibilant sonorant spread non-strident syllabic tense voice
ĩː,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal high non-labial laryngeal non-lateral long non-low nasal place non-sibilant sonorant non-spread non-strident syllabic tense voice
iː,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal high non-labial laryngeal non-lateral long non-low non-nasal place non-sibilant sonorant non-spread non-strident syllabic tense voice
ɪ̃,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal high non-labial laryngeal non-lateral non-low nasal place non-sibilant sonorant non-spread non-strident syllabic non-tense voice
ɪ̯,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal high non-labial laryngeal non-lateral non-low non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
ɪ̥,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal high non-labial laryngeal non-lateral non-low non-nasal place non-sibilant sonorant non-spread non-strident syllabic non-tense non-voice
ɪ,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal high non-labial laryngeal non-lateral non-low non-nasal place non-sibilant sonorant non-spread non-strident syllabic non-tense voice
ɪ̈̃,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high non-labial laryngeal non-lateral non-low nasal place sonorant non-spread syllabic non-tense voice
ɪ̈,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high non-labial laryngeal non-lateral non-low non-nasal place sonorant non-spread syllabic non-tense voice
ɪ̃ː,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal high non-labial laryngeal non-lateral long non-low nasal place non-sibilant sonorant non-spread non-strident syllabic non-tense voice
ɪː,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal high non-labial laryngeal non-lateral long non-low non-nasal place non-sibilant sonorant non-spread non-strident syllabic non-tense voice
ɪ̈̃ː,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high non-labial laryngeal non-lateral long non-low nasal place sonorant non-spread syllabic non-tense voice
ɪ̈ː,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high non-labial laryngeal non-lateral long non-low non-nasal place sonorant non-spread syllabic non-tense voice
ɨ̃,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high non-labial laryngeal non-lateral non-low nasal place sonorant non-spread syllabic tense voice
ɨ,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high non-labial laryngeal non-lateral non-low non-nasal place sonorant non-spread syllabic tense voice
ɨ̃ː,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high non-labial laryngeal non-lateral long non-low nasal place sonorant non-spread syllabic tense voice
ɨː,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal high non-labial laryngeal non-lateral long non-low non-nasal place sonorant non-spread syllabic tense voice
j̃,non-anterior non-approximant non-consonantal non-constricted continuant coronal distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
j̊,non-anterior non-approximant non-consonantal non-constricted continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense non-voice
j,non-anterior non-approximant non-consonantal non-constricted continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
jː,non-anterior non-approximant non-consonantal non-constricted continuant coronal distributed non-dorsal non-labial laryngeal non-lateral long non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
ʝ,non-anterior non-approximant non-click consonantal non-constricted continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-spread strident non-syllabic non-tense voice
ɟ,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
ɟʝ,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
ʄ,non-anterior non-approximant consonantal constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
k,non-approximant back non-click consonantal non-continuant non-coronal dorsal high non-labial non-laryngeal non-lateral non-low non-nasal place non-sonorant non-syllabic non-tense
kː,non-approximant back non-click consonantal non-continuant non-coronal dorsal high non-labial non-laryngeal non-lateral long non-low non-nasal place non-sonorant non-syllabic non-tense
kʰ,non-approximant back non-click consonantal non-constricted non-continuant non-coronal dorsal high non-labial laryngeal non-lateral non-low non-nasal place non-sonorant spread non-syllabic non-tense non-voice
kʲ,non-anterior non-approximant back non-click consonantal non-continuant coronal distributed dorsal high non-labial non-laryngeal non-lateral non-low non-nasal place non-sibilant non-sonorant non-strident non-syllabic non-tense
kʟ̝̊,non-approximant back non-click consonantal non-continuant non-coronal dorsal high non-labial non-laryngeal lateral non-low nasal place sonorant non-syllabic non-tense
kʟ̝̊ʼ,non-approximant back non-click consonantal constricted non-continuant non-coronal dorsal high non-labial laryngeal lateral non-low nasal place sonorant non-spread non-syllabic non-tense non-voice
kʷ,non-approximant back non-click consonantal non-continuant non-coronal dorsal high labial non-laryngeal non-lateral non-low non-nasal place round non-sonorant non-syllabic non-tense
kʷː,non-approximant back non-click consonantal non-continuant non-coronal dorsal high labial non-laryngeal non-lateral long non-low non-nasal place round non-sonorant non-syllabic non-tense
kʷʰ,non-approximant back non-click consonantal non-constricted non-continuant non-coronal dorsal high labial laryngeal non-lateral non-low non-nasal place round non-sonorant spread non-syllabic non-tense non-voice
kx,non-approximant back non-click consonantal non-continuant non-coronal dorsal high non-labial non-laryngeal non-lateral non-low nasal place sonorant non-syllabic non-tense
kʼ,non-approximant back non-click consonantal constricted non-continuant non-coronal dorsal high non-labial laryngeal non-lateral non-low non-nasal place non-sonorant non-spread non-syllabic non-tense non-voice
kʼʷ,non-approximant back non-click consonantal constricted non-continuant non-coronal dorsal high labial laryngeal non-lateral non-low non-nasal place round non-sonorant non-spread non-syllabic non-tense non-voice
l̪̥,anterior approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal lateral non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic tense non-voice
l̪,anterior approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal lateral non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic tense voice
l̪̩,anterior approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal lateral non-nasal place non-sibilant sonorant non-spread non-strident syllabic tense voice
l̼,anterior approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal labial laryngeal lateral non-nasal place non-round non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
l̥,anterior approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal lateral non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense non-voice
l,anterior approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal lateral non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
l̩,anterior approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal lateral non-nasal place non-sibilant sonorant non-spread non-strident syllabic non-tense voice
l̠,approximant non-click consonantal non-constricted non-continuant laryngeal lateral non-nasal non-place sonorant non-spread non-syllabic non-tense voice
l̪ː,anterior approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal lateral long non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic tense voice
lː,anterior approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal lateral long non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
lˠ,anterior approximant back non-click consonantal non-constricted non-continuant coronal non-distributed dorsal high non-labial laryngeal lateral non-low non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
lʱ,anterior approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal lateral non-nasal place non-sibilant sonorant spread non-strident non-syllabic non-tense voice
l̠ʲ,non-anterior approximant non-click consonantal non-constricted non-continuant coronal distributed laryngeal lateral non-nasal non-place non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
lʲ,non-anterior approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal lateral non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
l̪ʲ,non-anterior approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal lateral non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic tense voice
ʟ̥,approximant back non-click consonantal non-constricted non-continuant non-coronal dorsal high non-labial laryngeal lateral non-low non-nasal place sonorant non-spread non-syllabic non-tense non-voice
ʟ,approximant back non-click consonantal non-constricted non-continuant non-coronal dorsal high non-labial laryngeal lateral non-low non-nasal place sonorant non-spread non-syllabic non-tense voice
ɬ̪,anterior non-approximant non-click consonantal continuant coronal distributed non-dorsal non-labial non-laryngeal lateral non-nasal place non-sibilant non-sonorant strident non-syllabic tense
ɬ̼,anterior non-approximant non-click consonantal continuant coronal non-distributed non-dorsal labial non-laryngeal lateral non-nasal place non-round non-sibilant non-sonorant strident non-syllabic non-tense
ɬ,anterior non-approximant non-click consonantal continuant coronal non-distributed non-dorsal non-labial non-laryngeal lateral non-nasal place non-sibilant non-sonorant strident non-syllabic non-tense
ɬ̪ʼ,anterior non-approximant non-click consonantal constricted continuant coronal distributed non-dorsal non-labial laryngeal lateral non-nasal place non-sibilant non-sonorant non-spread strident non-syllabic tense non-voice
ɬʼ,anterior non-approximant non-click consonantal constricted continuant coronal non-distributed non-dorsal non-labial laryngeal lateral non-nasal place non-sibilant non-sonorant non-spread strident non-syllabic non-tense non-voice
ɭ̊,non-anterior approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal lateral non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense non-voice
ɭ,non-anterior approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal lateral non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
ɭ̩,non-anterior approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal lateral non-nasal place non-sibilant sonorant non-spread non-strident syllabic non-tense voice
ȴ,approximant non-back non-click consonantal non-constricted non-continuant non-coronal dorsal high non-labial laryngeal lateral non-low non-nasal place sonorant non-spread non-syllabic tense voice
ɮ̼,anterior non-approximant non-click consonantal non-constricted continuant coronal non-distributed non-dorsal labial laryngeal lateral non-nasal place non-round non-sibilant non-sonorant non-spread strident non-syllabic non-tense voice
ɮ,anterior non-approximant non-click consonantal non-constricted continuant coronal non-distributed non-dorsal non-labial laryngeal lateral non-nasal place non-sibilant non-sonorant non-spread strident non-syllabic non-tense voice
ʎ̥,non-anterior approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal lateral non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense non-voice
ʎ,non-anterior approximant non-click consonantal non-continuant coronal distributed non-dorsal non-labial non-laryngeal lateral non-nasal place non-sibilant sonorant non-strident non-syllabic non-tense
m̥,non-approximant non-click consonantal non-constricted non-continuant non-coronal non-dorsal labial laryngeal non-lateral nasal place non-round non-sonorant non-spread non-syllabic non-tense non-voice
m,non-approximant non-click consonantal non-constricted non-continuant non-coronal non-dorsal labial laryngeal non-lateral nasal place non-round non-sonorant non-spread non-syllabic non-tense voice
m̩,non-approximant non-click consonantal non-constricted non-continuant non-coronal non-dorsal labial laryngeal non-lateral nasal place non-round non-sonorant non-spread syllabic non-tense voice
mː,non-approximant non-click consonantal non-constricted non-continuant non-coronal non-dorsal labial laryngeal non-lateral long nasal place non-round non-sonorant non-spread non-syllabic non-tense voice
mˠ,non-approximant back non-click consonantal non-constricted non-continuant non-coronal dorsal high labial laryngeal non-lateral non-low nasal place non-round non-sonorant non-spread non-syllabic non-tense voice
mʰ,non-approximant non-click consonantal non-constricted non-continuant non-coronal non-dorsal labial laryngeal non-lateral nasal place non-round non-sonorant spread non-syllabic non-tense voice
mʲ,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal labial laryngeal non-lateral nasal place non-round non-sibilant non-sonorant non-spread strident non-syllabic non-tense voice
mʷ,non-approximant non-click consonantal non-constricted non-continuant non-coronal non-dorsal labial laryngeal non-lateral nasal place round non-sonorant non-spread non-syllabic non-tense voice
mʷː,non-approximant non-click consonantal non-constricted non-continuant non-coronal non-dorsal labial laryngeal non-lateral long nasal place round non-sonorant non-spread non-syllabic non-tense voice
mˤː,non-approximant non-click consonantal non-constricted non-continuant non-coronal non-dorsal labial laryngeal non-lateral long nasal pharyngeal place non-round non-sonorant non-spread non-syllabic non-tense voice
ɱ̊,anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal labial laryngeal non-lateral nasal place non-round non-sibilant non-sonorant non-spread strident non-syllabic non-tense non-voice
ɱ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal labial laryngeal non-lateral nasal place non-round non-sibilant non-sonorant non-spread strident non-syllabic non-tense voice
n̪,anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant non-sonorant non-spread strident non-syllabic tense voice
n̼,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal labial laryngeal non-lateral nasal place non-round non-sibilant non-sonorant non-spread strident non-syllabic non-tense voice
n̥,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant non-sonorant non-spread strident non-syllabic non-tense non-voice
n,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant non-sonorant non-spread strident non-syllabic non-tense voice
n̩,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant non-sonorant non-spread strident syllabic non-tense voice
nː,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral long nasal place non-sibilant non-sonorant non-spread strident non-syllabic non-tense voice
ⁿb,non-approximant non-click consonantal non-constricted non-continuant non-coronal non-dorsal labial laryngeal non-lateral non-nasal place prenasal non-round non-sonorant non-spread non-syllabic non-tense voice
ⁿd̪,anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place prenasal non-sibilant non-sonorant non-spread non-strident non-syllabic tense voice
ⁿd̼,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal labial laryngeal non-lateral non-nasal place prenasal non-round non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
ⁿd,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place prenasal non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
ⁿdʒ,non-approximant non-click consonantal non-constricted non-continuant laryngeal non-lateral nasal non-place prenasal sonorant non-spread non-syllabic non-tense voice
ⁿg,non-approximant back non-click consonantal non-constricted non-continuant non-coronal dorsal high non-labial laryngeal non-lateral non-low non-nasal place prenasal non-sonorant non-spread non-syllabic non-tense voice
ⁿgǀ,anterior non-approximant click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place prenasal non-sibilant non-sonorant non-spread non-strident non-syllabic tense voice
ⁿgǁ,non-approximant click consonantal non-constricted non-continuant non-coronal non-dorsal non-labial laryngeal lateral non-nasal place prenasal non-sonorant non-spread non-syllabic non-tense voice
ⁿgǂ,non-anterior non-approximant click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place prenasal non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
ⁿgǃ,anterior non-approximant click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral nasal place prenasal non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
ⁿgǃǃ,non-anterior non-approximant click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place prenasal non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
ⁿgʘ,non-approximant click consonantal non-constricted non-continuant non-coronal non-dorsal labial laryngeal non-lateral non-nasal place prenasal non-round non-sonorant non-spread non-syllabic non-tense voice
n̪ˠ,anterior non-approximant back non-click consonantal non-constricted non-continuant coronal distributed dorsal high non-labial laryngeal non-lateral non-low nasal place non-sibilant non-sonorant non-spread strident non-syllabic tense voice
nʲ,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant non-sonorant non-spread strident non-syllabic non-tense voice
ⁿɟ,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place prenasal non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
ⁿk,non-approximant back non-click consonantal non-continuant non-coronal dorsal high non-labial non-laryngeal non-lateral non-low non-nasal place prenasal non-sonorant non-syllabic non-tense
ⁿkʷ,non-approximant back non-click consonantal non-continuant non-coronal dorsal high labial non-laryngeal non-lateral non-low non-nasal place prenasal round non-sonorant non-syllabic non-tense
ⁿp,non-approximant non-click consonantal non-continuant non-coronal non-dorsal labial non-laryngeal non-lateral non-nasal place prenasal non-round non-sonorant non-syllabic non-tense
ⁿt̪,anterior non-approximant non-click consonantal non-continuant coronal distributed non-dorsal non-labial non-laryngeal non-lateral non-nasal place prenasal non-sibilant non-sonorant non-strident non-syllabic tense
ⁿt,anterior non-approximant non-click consonantal non-continuant coronal non-distributed non-dorsal non-labial non-laryngeal non-lateral non-nasal place prenasal non-sibilant non-sonorant non-strident non-syllabic non-tense
ⁿtʃ,non-anterior non-approximant non-click consonantal non-continuant coronal non-distributed non-laryngeal non-lateral nasal non-place prenasal sibilant sonorant non-strident non-syllabic non-tense
nˤ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral nasal pharyngeal place non-sibilant non-sonorant non-spread strident non-syllabic non-tense voice
ɴ̥,non-approximant back non-click consonantal non-constricted non-continuant non-coronal dorsal non-high non-labial laryngeal non-lateral non-low nasal place non-sonorant non-spread non-syllabic non-tense non-voice
ɴ,non-approximant back non-click consonantal non-constricted non-continuant non-coronal dorsal non-high non-labial laryngeal non-lateral non-low nasal place non-sonorant non-spread non-syllabic non-tense voice
ɴ̩,non-approximant back non-click consonantal non-constricted non-continuant non-coronal dorsal non-high non-labial laryngeal non-lateral non-low nasal place non-sonorant non-spread syllabic non-tense voice
ɲ̊,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant non-sonorant non-spread strident non-syllabic non-tense non-voice
ɲ̍,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant non-sonorant non-spread strident syllabic non-tense voice
ɲ,non-anterior non-approximant non-click consonantal non-continuant coronal distributed non-dorsal non-labial non-laryngeal non-lateral nasal place non-sibilant non-sonorant strident non-syllabic non-tense
ɲː,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral long nasal place non-sibilant non-sonorant non-spread strident non-syllabic non-tense voice
ɳ̊,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant non-sonorant non-spread strident non-syllabic non-tense non-voice
ɳ,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant non-sonorant non-spread strident non-syllabic non-tense voice
ɳ̍,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant non-sonorant non-spread strident syllabic non-tense voice
ȵ̊,non-approximant non-back non-click consonantal non-constricted non-continuant non-coronal dorsal high non-labial laryngeal non-lateral non-low nasal place non-sonorant non-spread non-syllabic tense non-voice
ȵ,non-approximant non-back non-click consonantal non-constricted non-continuant non-coronal dorsal high non-labial laryngeal non-lateral non-low nasal place non-sonorant non-spread non-syllabic tense voice
ŋ̊,non-approximant back non-click consonantal non-constricted non-continuant non-coronal dorsal high non-labial laryngeal non-lateral non-low nasal place non-sonorant non-spread non-syllabic non-tense non-voice
ŋ,non-approximant back non-click consonantal non-constricted non-continuant non-coronal dorsal high non-labial laryngeal non-lateral non-low nasal place non-sonorant non-spread non-syllabic non-tense voice
ŋ̍,non-approximant back non-click consonantal non-constricted non-continuant non-coronal dorsal high non-labial laryngeal non-lateral non-low nasal place non-sonorant non-spread syllabic non-tense voice
ŋː,non-approximant back non-click consonantal non-constricted non-continuant non-coronal dorsal high non-labial laryngeal non-lateral long non-low nasal place non-sonorant non-spread non-syllabic non-tense voice
ŋʷ,non-approximant back non-click consonantal non-constricted non-continuant non-coronal dorsal high labial laryngeal non-lateral non-low nasal place round non-sonorant non-spread non-syllabic non-tense voice
ŋ̊ǀ,anterior non-approximant click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic tense non-voice
ŋǀ,anterior non-approximant click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic tense voice
ŋ̊ǁ,non-approximant click consonantal non-constricted non-continuant non-coronal non-dorsal non-labial laryngeal lateral nasal place non-sonorant non-spread non-syllabic non-tense non-voice
ŋǁ,non-approximant click consonantal non-constricted non-continuant non-coronal non-dorsal non-labial laryngeal lateral nasal place non-sonorant non-spread non-syllabic non-tense voice
ŋ̊ǂ,non-anterior non-approximant click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense non-voice
ŋǂ,non-anterior non-approximant click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
ŋ̊ǃ,anterior non-approximant click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense non-voice
ŋǃ,anterior non-approximant click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
ŋ̊ǃǃ,non-anterior non-approximant click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense non-voice
ŋǃǃ,non-anterior non-approximant click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
ŋ̊ʘ,non-approximant click consonantal non-constricted non-continuant non-coronal non-dorsal labial laryngeal non-lateral nasal place non-round non-sonorant non-spread non-syllabic non-tense non-voice
ŋʘ,non-approximant click consonantal non-constricted non-continuant non-coronal non-dorsal labial laryngeal non-lateral nasal place non-round non-sonorant non-spread non-syllabic non-tense voice
ø̃,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high labial laryngeal non-lateral non-low nasal place round non-sibilant sonorant non-spread non-strident syllabic tense voice
ø,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high labial laryngeal non-lateral non-low non-nasal place round non-sibilant sonorant non-spread non-strident syllabic tense voice
ŏ,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral non-long non-low non-nasal place round sonorant non-spread syllabic tense voice
õ,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral non-low nasal place round sonorant non-spread syllabic tense voice
o̯,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral non-low non-nasal place round sonorant non-spread non-syllabic tense voice
o̥,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high labial laryngeal non-lateral non-low non-nasal place round sonorant non-spread syllabic tense non-voice
