GRAPHEME,DESCRIPTION
bβ,non-approximant non-click consonantal non-constricted non-continuant non-coronal non-dorsal labial laryngeal non-lateral nasal place non-round sonorant non-spread non-syllabic non-tense voice
ʙ̥,approximant non-click consonantal non-constricted continuant non-coronal non-dorsal labial laryngeal non-lateral non-nasal place non-round sonorant non-spread non-syllabic non-tense non-voice
ʙ,approximant non-click consonantal non-constricted continuant non-coronal non-dorsal labial laryngeal non-lateral non-nasal place non-round sonorant non-spread non-syllabic non-tense voice
ʙ̩,approximant non-click consonantal non-constricted continuant non-coronal non-dorsal labial laryngeal non-lateral non-nasal place non-round sonorant non-spread syllabic non-tense voice
ɓ,non-approximant consonantal constricted non-continuant non-coronal non-dorsal labial laryngeal non-lateral non-nasal place non-round non-sonorant non-spread non-syllabic non-tense voice
ɓʲ,non-anterior non-approximant consonantal constricted non-continuant coronal distributed non-dorsal labial laryngeal non-lateral non-nasal place non-round non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
ç,non-anterior non-approximant non-click consonantal non-constricted continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-spread strident non-syllabic non-tense non-voice
c,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense non-voice
cː,non-anterior non-approximant non-click consonantal non-continuant coronal distributed non-dorsal non-labial non-laryngeal non-lateral long non-nasal place non-sibilant non-sonorant non-strident non-syllabic non-tense
cç,non-anterior non-approximant non-click consonantal non-continuant coronal distributed non-dorsal non-labial non-laryngeal non-lateral nasal place non-sibilant sonorant non-strident non-syllabic non-tense
cçʰ,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant sonorant spread non-strident non-syllabic non-tense non-voice
cʰ,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant spread non-strident non-syllabic non-tense non-voice
cʼ,non-anterior non-approximant non-click consonantal constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense non-voice
ɕ,non-anterior non-approximant non-back non-click consonantal continuant coronal non-distributed dorsal high non-labial non-laryngeal non-lateral non-low non-nasal place sibilant non-sonorant strident non-syllabic tense
ð,anterior non-approximant non-click consonantal non-constricted continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-spread strident non-syllabic tense voice
ð̼,anterior non-approximant non-click consonantal non-constricted continuant coronal non-distributed non-dorsal labial laryngeal non-lateral non-nasal place non-round non-sibilant non-sonorant non-spread strident non-syllabic non-tense voice
d̪,anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic tense voice
d̼,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal labial laryngeal non-lateral non-nasal place non-round non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
d̥,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense non-voice
d,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
ð̞,anterior non-approximant non-consonantal non-constricted continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic tense voice
d̠,non-approximant non-click consonantal non-constricted non-continuant laryngeal non-lateral non-nasal non-place non-sonorant non-spread non-syllabic non-tense voice
ðː,anterior non-approximant non-click consonantal non-constricted continuant coronal distributed non-dorsal non-labial laryngeal non-lateral long non-nasal place non-sibilant non-sonorant non-spread strident non-syllabic tense voice
d̪ː,anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral long non-nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic tense voice
dː,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral long non-nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
dːʒ,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed laryngeal non-lateral long nasal non-place sibilant sonorant non-spread non-strident non-syllabic non-tense voice
dð,anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant sonorant non-spread non-strident non-syllabic tense voice
d̪ˠ,anterior non-approximant back non-click consonantal non-constricted non-continuant coronal distributed dorsal high non-labial laryngeal non-lateral non-low non-nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic tense voice
dʰ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant spread non-strident non-syllabic non-tense voice
dʰː,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral long non-nasal place non-sibilant non-sonorant spread non-strident non-syllabic non-tense voice
dʲ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
d̪ʲ,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic tense voice
d̪ɮ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal lateral nasal place non-sibilant sonorant non-spread non-strident non-syllabic tense voice
dɮ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal lateral nasal place non-sibilant sonorant non-spread non-strident non-syllabic non-tense voice
d̪̥ⁿ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic tense non-voice
d̪ⁿ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic tense voice
d̥ⁿ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense non-voice
dⁿ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
dz̪,anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral nasal place sibilant sonorant non-spread non-strident non-syllabic tense voice
dz,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral nasal place sibilant sonorant non-spread non-strident non-syllabic non-tense voice
dz̪ː,anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral long nasal place sibilant sonorant non-spread non-strident non-syllabic tense voice
dzː,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral long nasal place sibilant sonorant non-spread non-strident non-syllabic non-tense voice
dʑ,non-anterior non-approximant non-back non-click consonantal non-constricted non-continuant coronal non-distributed dorsal high non-labial laryngeal non-lateral non-low nasal place sibilant sonorant non-spread non-strident non-syllabic tense voice
dʑː,non-anterior non-approximant non-back non-click consonantal non-constricted non-continuant coronal non-distributed dorsal high non-labial laryngeal non-lateral long non-low nasal place sibilant sonorant non-spread non-strident non-syllabic tense voice
dʒ,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed laryngeal non-lateral nasal non-place sibilant sonorant non-spread non-strident non-syllabic non-tense voice
dʒʱ,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed laryngeal non-lateral nasal non-place sibilant sonorant spread non-strident non-syllabic non-tense voice
dʒʲ,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed laryngeal non-lateral nasal non-place sibilant sonorant non-spread non-strident non-syllabic non-tense voice
dʒʷ,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed labial laryngeal non-lateral nasal non-place round sibilant sonorant non-spread non-strident non-syllabic non-tense voice
d̪ˤ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal pharyngeal place non-sibilant non-sonorant non-spread non-strident non-syllabic tense voice
dˤ,anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal pharyngeal place non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
ɖ,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic non-tense voice
ɖʱ,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant spread non-strident non-syllabic non-tense voice
ɖʐ,non-anterior non-approximant non-click consonantal non-constricted non-continuant coronal non-distributed non-dorsal non-labial laryngeal non-lateral nasal place sibilant sonorant non-spread non-strident non-syllabic non-tense voice
ɗ̥,anterior non-approximant consonantal constricted non-continuant coronal distributed non-dorsal non-labial laryngeal non-lateral non-nasal place non-sibilant non-sonorant non-spread non-strident non-syllabic tense non-voice
