GRAPHEME,DESCRIPTION,PARTIAL,DOLGO,PROSODY
ŋǃ,voiced alveolar nasal click consonant,False,N,
ŋʘ,voiced bilabial nasal click consonant,False,N,
œ,open-mid front rounded vowel,False,V,
œ̃,open-mid front rounded vowel nasalized,False,V,
ɐ,near-open central vowel,False,V,
ɐ̃,near-open central vowel nasalized,False,V,
ɑ,open back unrounded vowel,False,V,
ɑ̃,open back unrounded vowel nasalized,False,V,
ɒ,open back rounded vowel,False,V,
ɒ̃,open back rounded vowel nasalized,False,V,
ɓ,voiced bilabial implosive plosive consonant,False,P,
ɔ,open-mid back rounded vowel,False,V,
ɔ̃,open-mid back rounded vowel nasalized,False,V,
ɕ,voiceless palatal sibilant fricative consonant,False,S,
ɕʼ,voiceless palatal ejective fricative consonant,False,S,
ɖ,voiced retroflex plosive consonant,False,T,
ɖʐ,voiced retroflex sibilant affricate consonant,False,K,
ɗ,voiced alveolar implosive plosive consonant,False,T,
ɘ,close-mid central unrounded vowel,False,V,
ɘ̃,close-mid central unrounded vowel nasalized,False,V,
ə,mid central vowel,False,V,
ə̃,mid central vowel nasalized,False,V,
ɛ,open-mid front unrounded vowel,False,V,
ɛ̃,open-mid front unrounded vowel nasalized,False,V,
ɜ,open-mid central unrounded vowel,False,V,
ɜ̃,open-mid central unrounded vowel nasalized,False,V,
ɞ,open-mid central rounded vowel,False,V,
ɞ̃,open-mid central rounded vowel nasalized,False,V,
ɟ,voiced palatal plosive consonant,False,K,
ɟʝ,voiced palatal non-sibilant affricate consonant,False,K,
ɠ,voiced velar implosive plosive consonant,False,K,
ɡ,voiced velar plosive consonant,False,,
ɡǀ,voiced dental click consonant,False,,
ɡǁ,voiced alveolar lateral click consonant,False,,
ɡǂ,voiced palatal click consonant,False,,
ɡǃ,voiced alveolar click consonant,False,,
ɡɣ,voiced velar affricate consonant,False,,
ɡʘ,voiced bilabial click consonant,False,,
ɢ,voiced uvular plosive consonant,False,K,
ɣ,voiced velar fricative consonant,False,K,
ɤ,close-mid back unrounded vowel,False,V,
ɤ̃,close-mid back unrounded vowel nasalized,False,V,
ɥ,voiced labio-palatal approximant consonant,False,J,
ɦ,voiced glottal fricative consonant,False,H,
ɨ,close central unrounded vowel,False,V,
ɨ̃,close central unrounded vowel nasalized,False,V,
ɪ,near-close front unrounded vowel,False,V,
ɪ̃,near-close front unrounded vowel nasalized,False,V,
ɫ,voiced velarized alveolar lateral approximant consonant,False,,
ɬ,voiceless alveolar lateral fricative consonant,False,,
ɬʼ,voiceless alveolar ejective lateral fricative consonant,False,,
ɭ,voiced retroflex lateral approximant consonant,False,R,
ɮ,voiced alveolar lateral fricative consonant,False,R,
ɯ,close back unrounded vowel,False,V,
ɯ̃,close back unrounded vowel nasalized,False,V,
ɰ,voiced velar approximant consonant,False,V,
ɱ,voiced labio-dental nasal plosive consonant,False,M,
ɲ,voiced palatal nasal plosive consonant,False,N,
ɲm,voiced labio-velar nasal plosive consonant,False,,
ɳ,voiced retroflex nasal plosive consonant,False,N,
ɴ,voiced uvular nasal plosive consonant,False,N,
ɴ̥,voiceless uvular nasal plosive consonant,False,N,
ɵ,close-mid central rounded vowel,False,V,
ɵ̃,close-mid central rounded vowel nasalized,False,V,
ɶ,open front rounded vowel,False,V,
ɶ̃,open front rounded vowel nasalized,False,V,
ɸ,voiceless bilabial fricative consonant,False,P,
ɸʼ,voiceless bilabial ejective fricative consonant,False,P,
ɹ,voiced alveolar approximant consonant,False,R,
ɺ,voiced alveolar lateral flap consonant,False,R,
ɻ,voiced retroflex approximant consonant,False,R,
ɽ,voiced retroflex flap consonant,False,R,
ɽr,voiced retroflex trill consonant,False,,
ɾ,voiced alveolar flap consonant,False,R,
ʀ,voiced uvular trill consonant,False,R,
ʁ,voiced uvular fricative consonant,False,R,
ʂ,voiceless retroflex sibilant fricative consonant,False,S,
ʂʼ,voiceless retroflex ejective fricative consonant,False,,
ʃ,voiceless post-alveolar sibilant fricative consonant,False,S,
ʃʼ,voiceless post-alveolar ejective fricative consonant,False,S,
ʄ,voiced palatal implosive plosive consonant,False,K,
ʈ,voiceless retroflex plosive consonant,False,T,
ʈʂ,voiceless retroflex sibilant affricate consonant,False,K,
ʈʂʼ,voiceless retroflex sibilant ejective affricate consonant,False,,
ʈʼ,voiceless retroflex ejective plosive consonant,False,,
ʉ,close central rounded vowel,False,V,
ʉ̃,close central rounded vowel nasalized,False,V,
ʊ,near-close back rounded vowel,False,V,
ʊ̃,near-close back rounded vowel nasalized,False,V,
ʋ,voiced labio-dental approximant consonant,False,W,
ʌ,open-mid back unrounded vowel,False,V,
ʌ̃,open-mid back unrounded vowel nasalized,False,V,
ʍ,voiceless labio-velar approximant consonant,False.M,
ʎ,voiced palatal lateral approximant consonant,False,R,
ʏ,near-close front rounded vowel,False,V,
ʏ̃,near-close front rounded vowel nasalized,False,V,
ʐ,voiced retroflex sibilant fricative consonant,False,S,
ʑ,voiced palatal sibilant fricative consonant,False,S,
ʒ,voiced post-alveolar sibilant fricative consonant,False,S,
ʔ,voiceless glottal plosive consonant,False,H,
ʔh,voiceless glottal affricate consonant,False,H,
ʕ,voiced pharyngeal fricative consonant,False,H,
ʙ,voiced bilabial trill consonant,False,W,
