a	6.93777370	-38.48186493	-85.82312012	-6.63512135
aː	7.49943256	-40.32828140	-86.56367493	-7.15563869
ã	5.32525158	-50.55376053	-61.52445602	-19.69207382
ãː	6.63300991	-52.73331451	-62.82284927	-20.61136627
ă	6.37610912	-36.63544846	-85.08255005	-6.11460209
ḁ	3.49643064	-34.53702545	-70.59580994	-9.24851608
a̯	10.75320339	-37.61726379	-87.79879761	1.84050834
b	40.05769730	-83.35485077	6.50401831	141.68173218
bv	-5.41514492	-124.38968658	-10.67838383	77.48986053
bʰ	39.61896515	-73.85457611	9.26529217	130.72976685
bʰː	39.93729019	-75.21715546	10.59460640	131.88967896
bʲ	4.30605984	-78.63071442	-11.82793522	130.39657593
bʷ	37.50161743	-51.84780502	0.65921247	106.40335846
bʷː	38.15022659	-52.69366837	1.15767324	107.28767395
bː	40.11557388	-85.28273010	7.38646078	142.61892700
bˠ	41.64619446	-90.24707031	8.19160748	150.15567017
bˤː	39.45373154	-90.07318878	8.77645302	146.11117554
b̥	31.37906456	-68.85336304	22.02591705	135.21112061
b̪	-9.50343418	-91.03592682	-15.52582359	132.09967041
bβ	44.33220291	-117.50281525	10.57327557	85.73263550
c	-3.26218581	-65.86125946	3.53426862	126.15586090
cç	-0.68527299	-85.77034760	19.69280434	41.60658264
cçʰ	0.99759787	-93.16286469	9.31686878	55.03696823
cʰ	-4.47395134	-56.28384018	10.21368027	116.54729462
cʼ	-5.63272810	-53.32898331	8.00459576	113.16029358
cː	-6.30076504	-50.10810852	24.47314262	105.20701599
ç	-4.47011566	-59.90430832	9.68944836	121.05208588
d	-7.30715656	-99.35408020	-17.80507851	131.64733887
dz	-4.01091480	-142.08625793	-2.17030215	92.87763977
dzː	-3.97272563	-144.21723938	-1.11149657	93.68794250
dz̪	-8.75369358	-126.75223541	-1.95989287	81.38691711
dz̪ː	-7.64170742	-128.89212036	-2.30782771	81.98542023
dð	-8.65958309	-113.91289520	-11.00598526	69.93428040
dɮ	-8.91914463	-106.94908142	-11.85312271	73.65575409
dʑ	8.12686443	-130.76182556	3.36333776	88.38191223
dʑː	8.16505909	-132.89280701	4.42214918	89.19221497
dʒ	7.78411770	-123.98652649	5.06846285	83.03874969
dʒʱ	7.63742733	-113.75322723	8.04539585	72.36512756
dʒʲ	6.24380398	-119.31002808	2.48877835	79.83563232
dʒʷ	6.58367634	-96.21837616	4.83921003	59.33445358
dʰ	-7.88260174	-89.71562958	-12.24194908	121.79087830
dʰː	-7.88938427	-91.71305084	-10.97609997	122.87016296
dʲ	-9.49355030	-91.95396423	-17.67450142	133.06108093
dː	-7.16775608	-101.19428253	-17.40602875	132.40539551
dˤ	-7.96900082	-104.14453125	-16.41507912	135.13960266
d̠	18.15041351	-83.27091980	2.06619763	136.53549194
d̥	-15.35321808	-85.54524994	-0.18181100	126.32072449
d̥ⁿ	-14.70181751	-111.76754761	5.96569109	91.26205444
d̪	-12.46405125	-82.79686737	-18.52603340	120.61994171
d̪ɮ	-12.01622486	-90.97784424	-15.14916897	62.39117432
d̪ʱ	-12.58424759	-73.98159027	-11.66017056	110.95704651
d̪ʱː	-12.75324726	-75.22499084	-11.79656792	111.90809631
d̪ʲ	1.34544015	-70.39166260	-14.82814312	118.91685486
d̪ː	-11.52149868	-84.78092194	-18.59448433	121.47274780
d̪ˠ	-10.79403019	-89.60141754	-17.32183075	128.91473389
d̪ˤ	-13.12589550	-87.58733368	-17.13603210	124.11219788
d̪̥ⁿ	-17.41562653	-96.75536346	7.00268888	81.73002625
d̪ⁿ	-13.65187645	-109.05681610	-3.85128474	90.43808746
d̼	-7.31703854	-98.43605042	-15.65639400	130.68592834
dⁿ	-11.54088116	-123.87538910	-2.71794295	101.53681946
e	19.41059113	-47.92147446	-102.06214142	-1.22616875
eː	19.95428848	-49.34792709	-102.92969513	-1.94173348
ẽ	12.62897587	-60.81300735	-76.73233032	-18.00512314
ẽː	12.82970333	-62.32538605	-77.59098053	-19.43173790
ĕ	18.84976196	-46.64329529	-101.14117432	-0.38094246
e̤	16.58580399	-42.84177780	-88.83338165	-2.83252048
e̥	15.71395779	-46.73006058	-88.34582520	-3.70352650
e̯	24.13497734	-46.22026062	-106.41884613	5.25714397
f	-22.46864319	-53.23160553	24.54054260	94.64546204
fʰ	-18.03373909	-60.85913849	8.77478313	110.11070251
fʲ	-9.01090813	-41.28675079	29.46806908	93.21166992
fʷː	-18.18850136	-24.63933182	25.36368561	63.48209000
fʼ	-20.52287483	-57.83938217	8.58099461	107.15943146
fː	-21.76764297	-55.44137955	25.51987267	95.83618927
fˠ	-20.83849335	-60.02888489	26.50423813	103.33561707
g	41.65607834	-91.16510010	6.04292250	151.11708069
gǀ	-8.33178139	-71.01100159	-17.36619186	110.15084076
gǁ	33.30995178	-59.39912033	-2.79682994	116.38482666
gǂ	6.38072872	-65.57114410	-14.01795673	121.41645813
gǃ	-5.24236870	-85.37647247	-17.84641457	121.70581818
gǃǃ	8.56712246	-72.97126007	-14.14853001	120.00273132
gɣ	46.63331223	-127.15876770	6.79820013	91.19073486
gʘ	40.39345551	-72.84423828	5.49213362	131.05868530
gʰ	41.11816406	-81.48628235	11.38347912	141.17813110
gʲ	5.98596287	-86.35327911	-12.77242184	139.65278625
gʷ	40.89958954	-55.27814484	2.20074964	115.12664795
gː	41.79547501	-93.00530243	6.44197607	151.87512207
g̊	32.55316162	-77.11991119	24.08064079	145.57885742
h	9.83102608	-9.09564400	10.25683880	70.68634033
h̃	2.37544465	-31.16489220	33.08460236	38.22018051
i	18.10560799	-47.64488983	-100.12150574	0.76131332
iː	18.68233299	-48.95174789	-101.04254913	-0.02683556
ĩ	10.69147396	-59.94650269	-74.89990234	-17.16119385
ĩː	10.99292850	-61.47997665	-75.77030945	-18.55011177
i̤	15.15403080	-42.33640671	-86.89217377	-1.30026925
i̥	14.35999584	-46.45577240	-86.76281738	-2.63665104
j	27.80234909	-35.15714264	-67.48592377	28.89937782
jː	28.43448257	-37.05443192	-67.97795105	28.95528030
j̃	21.50721741	-56.69007492	-43.62615585	9.82190704
j̊	20.20738220	-21.64749146	-51.67234039	21.64861679
k	27.72634697	-59.73862076	43.46514893	119.35012817
kx	33.09603882	-99.29578400	37.83029556	54.11948776
kʟ̝̊	28.36336517	-80.03750610	31.44516754	41.42259979
kʟ̝̊ʼ	28.26212120	-81.36758423	22.39517021	54.30970383
kʰ	32.43953705	-66.98479462	26.90537643	134.70751953
kʲ	-7.75565815	-55.84786606	28.32273674	109.54585266
